title,logo,company_name,location,remote_status,min_salary,max_salary,salary_details,salary_text,website,tags,url,added_date,elapsed_days,application_status,application_date,feedback_received,feedback_date,time_until_feedback,notes,personal_rating
SQL Junior Developer,https://logos.gpcdn.pl/loga-firm/1074010714/9b030000-5dac-0015-ff4a-08dad831faf1_280x280.jpg?width=96,FULFILIO SP. Z O.O.,Oferta w wielu lokalizacjach (2),Hybrid,,,,,theprotocol.it,SQL,"https://theprotocol.it/szczegoly/praca/sql-junior-developer-lubna-pow-piaseczynski,oferta,eecf0000-387c-b216-c3ea-08dcd7be8c0f?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Specjalista ds. Analiz Logistycznych,https://logos.gpcdn.pl/loga-firm/18802262/2c580000-43a8-f403-45d9-08d6dec5119f_280x280.jpeg?width=96,Media Expert,"Łódź, Górna",Stationary,,,,,theprotocol.it,SQL,"https://theprotocol.it/szczegoly/praca/mlodszy-specjalista-ds-analiz-logistycznych-lodz-jedrzejowska-43,oferta,ba720000-1443-b21c-8100-08dcd7aacaa0?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Inżynier Danych/Data Scientist,https://logos.gpcdn.pl/loga-firm/20298444/2da80000-56be-0050-b934-08dc23270064_280x280.png?width=96,Centralne Biuro Antykorupcyjne,Warszawa,Stationary,5700.0,7700.0,zł (UoP),5.7k–7.7kzł (UoP),theprotocol.it,bazy wektorowe milvus | bazy wektorowe qdrant | Docker | Python,"https://theprotocol.it/szczegoly/praca/mlodszy-inzynier-danych-data-scientist-warszawa,oferta,39060000-9d78-f2e0-6282-08dcd7643c00?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Platform Specialist,https://logos.gpcdn.pl/loga-firm/20142168/2c580000-43a8-f403-db06-08d8e30f63ff_280x280.png?width=96,RTB House,,Remote,6000.0,13000.0,zł (B2B),6k–13kzł (B2B),theprotocol.it,Excel,"https://theprotocol.it/szczegoly/praca/platform-specialist-warszawa,oferta,39060000-9d78-f2e0-5e50-08dcd63d40e4?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Specjalista ds. GIS,https://logos.gpcdn.pl/loga-firm/20000254/2c580000-43a8-f403-2a9b-08d908bd7ff6_280x280.png?width=96,Apator Rector Sp. z o.o.,Zielona Góra,Hybrid,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/mlodszy-specjalista-ds-gis-zielona-gora-wroclawska-17b,oferta,eecf0000-387c-b216-7b8a-08dcd3cfeb90?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy konsultant ds. utrzymania baz danych,https://logos.gpcdn.pl/loga-firm/20002894/2c580000-43a8-f403-1fce-08d910886ffa_280x280.jpg?width=96,Asseco Business Solutions S.A.,Lublin,Stationary,,,,,theprotocol.it,SQL | Microsoft SQL Server,"https://theprotocol.it/szczegoly/praca/mlodszy-konsultant-ds-utrzymania-baz-danych-lublin-konrada-wallenroda-4c,oferta,aa3c0000-a366-0204-6e21-08dcd316df8d?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Specjalista ds. analizy / obróbki danych,https://logos.gpcdn.pl/loga-firm/20022105/9b030000-5dac-0015-fc3b-08da7a9e0da8_280x280.png?width=96,Asco,"Kraków, Bronowice Małe Wschód",Stationary,4800.0,9000.0,zł (UoP),4.8k–9kzł (UoP),theprotocol.it,SQL,"https://theprotocol.it/szczegoly/praca/specjalista-ds-analizy---obrobki-danych-krakow-balicka-100,oferta,1a840000-f5ea-0ac0-4df3-08dcd272378f?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Database Developer,https://logos.gpcdn.pl/loga-firm/1074172384/342a0000-56be-0050-0f38-08dc95034b5a_280x280.png?width=96,Aristocrat,,Remote,,,,,theprotocol.it,SQL,"https://theprotocol.it/szczegoly/praca/database-developer-malkowice-pow-proszowicki,oferta,70c30000-bd7e-5a4c-5f91-08dcd15c85ef?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Specjalista ds. Dokumentacji Analitycznej,https://logos.gpcdn.pl/loga-firm/18801676/03000000-bb2f-3863-35ae-08d8b25af4e6_280x280.jpg?width=96,DOZ S.A.,Łódź,Stationary,,,,,theprotocol.it,Jira | Confluence,"https://theprotocol.it/szczegoly/praca/specjalista-ds-dokumentacji-analitycznej-lodz,oferta,70c30000-bd7e-5a4c-5e5b-08dcce7d4989?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Marketing Automation Intern,https://logos.gpcdn.pl/loga-firm/1074169293/f15b0000-56be-0050-5aa0-08dc83cd57bc_280x280.png?width=96,5 BONSAI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Warszawa, Mokotów",Hybrid,4500.0,5500.0,zł (zlec.),4.5k–5.5kzł (zlec.),theprotocol.it,Microsoft Excel,"https://theprotocol.it/szczegoly/praca/marketing-automation-intern-warszawa-konstruktorska-12,oferta,eef90000-e065-ee46-8a9a-08dcccc27aa5?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Junior Global Data Administrator,https://logos.gpcdn.pl/loga-firm/20108301/03000000-bb2f-3863-8690-08d89533a8e3_280x280.png?width=96,HEINEKEN Global Shared Services,"Kraków, Czyżyny",Hybrid,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/junior-global-data-administrator-krakow-aleja-jana-pawla-ii-43a,oferta,d5d20000-53eb-1656-56e5-08dccc00dd62?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
PowerBI Engineer,https://logos.gpcdn.pl/loga-firm/20271458/ee4d0000-5df0-0015-17a8-08da712b43ee_280x280.jpg?width=96,GSK,"Poznań, Grunwald",Hybrid,,,,,theprotocol.it,SQL | JSON,"https://theprotocol.it/szczegoly/praca/powerbi-engineer-poznan-pastelowa-2-12,oferta,d5d20000-53eb-1656-213d-08dccbf1d328?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Programista SQL,https://logos.gpcdn.pl/loga-firm/20157762/03000000-bb2f-3863-01a9-08d8f9974a87_280x280.png?width=96,BAKK Sp. z o.o.,"Warszawa, Bemowo",Hybrid,,,,,theprotocol.it,T-SQL | MS SQL,"https://theprotocol.it/szczegoly/praca/mlodszy-programista-sql-warszawa-popiolka-20,oferta,d5d20000-53eb-1656-8229-08dccad1b7c1?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Programista SQL/Analityk danych,https://logos.gpcdn.pl/loga-firm/20203647/03000000-bb2f-3863-0014-08d806223e3f_280x280.jpg?width=96,Betasi Sp. z o.o.,Nowy Sącz,Hybrid,12000.0,22000.0,zł (UoP),12k–22kzł (UoP),theprotocol.it,Microsoft Azure | Microsoft SQL Server | T-SQL,"https://theprotocol.it/szczegoly/praca/programista-sql-analityk-danych-nowy-sacz-topolowa-13,oferta,eef90000-e065-ee46-6a1e-08dcc8cd0ea2?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Data Engineer,https://logos.gpcdn.pl/loga-firm/20109980/03000000-bb2f-3863-015f-08d8b9428779_280x280.png?width=96,ITFS sp. z o.o.,,Remote,90.0,110.0,zł (B2B),90–110zł (B2B),theprotocol.it,Python | SQL | Google Cloud Platform,"https://theprotocol.it/szczegoly/praca/data-engineer-warszawa-aleje-jerozolimskie-125,oferta,5f840000-06f6-3a3a-b79e-08dcc821c71f?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Programista Aplikacji Bazodanowych JAVA,https://logos.gpcdn.pl/loga-firm/20015201/03000000-bb2f-3863-7ba1-08d987ff2979_280x280.png?width=96,Komtech Sp. z o.o.,"Radom, Stare Miasto",Hybrid,,,,,theprotocol.it,Java | HTML | Git | CSS,"https://theprotocol.it/szczegoly/praca/programista-aplikacji-bazodanowych-java-radom-debowa-19a,oferta,5f840000-06f6-3a3a-5848-08dcc81bba49?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Software Engineer II - Machine Learning - Google Cloud Platform,https://logos.gpcdn.pl/loga-firm/18740466/ee4e0000-5df0-0015-12c3-08da21dc8169_280x280.png?width=96,Google,"Warszawa, Śródmieście",Hybrid,,,,,theprotocol.it,Python | Java | JavaScript | C | C++ | TensorFlow,"https://theprotocol.it/szczegoly/praca/software-engineer-ii---machine-learning---google-cloud-platform-warszawa-emilii-plater-53,oferta,90c00000-1543-c628-a65b-08dcc7489781?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Specjalista / Młodsza Specjalistka ds. Zarządzania Danymi Produktowymi,https://logos.gpcdn.pl/loga-firm/20011192/2c580000-43a8-f403-503d-08d891ea1d2a_280x280.png?width=96,Nowy Styl Sp. z o.o.,Jasło,Stationary,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/mlodszy-specjalista---mlodsza-specjalistka-ds-zarzadzania-danymi-produktowymi-jaslo,oferta,90c00000-1543-c628-53ba-08dcc68b062d?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Młodszy Specjalista / Młodsza Specjalistka ds. Optymalizacji - Junior VBA Specialist,https://logos.gpcdn.pl/loga-firm/20002904/ee4d0000-5df0-0015-ffa0-08da803be0df_280x280.png?width=96,Consensus Sp. z o.o.,"Łódź, Bałuty",Stationary,,,,,theprotocol.it,SQL | Excel | VBA,"https://theprotocol.it/szczegoly/praca/mlodszy-specjalista---mlodsza-specjalistka-ds-optymalizacji---junior-vba-specialist-lodz-pojezierska-90a,oferta,88060000-c44a-2e91-b12b-08dcc66a724e?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Junior Python Developer/ka,https://logos.gpcdn.pl/loga-firm/1074157681/f15b0000-56be-0050-29aa-08dc6901a552_280x280.png?width=96,BLOCKWISE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Warszawa, Bemowo",Stationary,6000.0,8000.0,zł (B2B),6k–8kzł (B2B),theprotocol.it,Python | Linux | Node.js | PostgreSQL | MySQL | Git,"https://theprotocol.it/szczegoly/praca/junior-python-developer-ka-warszawa-polczynska-112a,oferta,88060000-c44a-2e91-ea91-08dcc5b20591?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
"Płatny staż w Dziale IT (rozwiązania chmurowe, automatyzacja procesów, sztuczna inteligencja)",https://logos.gpcdn.pl/loga-firm/20139633/03000000-bb2f-3863-e284-08d8f8e33ca2_280x280.png?width=96,Lorenz Services sp. z o.o.,Sady (pow. poznański),Hybrid,,,,,theprotocol.it,,"https://theprotocol.it/szczegoly/praca/platny-staz-w-dziale-it-rozwiazania-chmurowe-automatyzacja-procesow-sztuczna-inteligencja-sady-pow-poznanski,oferta,90c00000-1543-c628-a6a5-08dcc4885f6b?s=-1392803069&searchId=2a8b1d50-776f-11ef-894c-35f2b94992cb",2024-09-21,0.0,Not applied,,False,,,,
Senior MLOps Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/000/471/list/Getindata-Logo-Rgb-Part-of-Xebia-concept.jpg,GetInData | Part of Xebia,Warsaw,Remote,25600.0,32000.0,PLN,25 600 - 32 000PLN,bulldogjob.pl,Bash | Docker | Kubernetes,https://bulldogjob.pl/companies/jobs/161892-senior-mlops-engineer-warsaw-getindata-part-of-xebia,2024-09-21,0.0,Not applied,,False,,,,
Data Engineer (Streaming),https://cdn.bulldogjob.com/system/companies/logos/000/000/257/list/logo-onwelo.png,ONWELO Sp. z o.o.,Warszawa | Kraków | Lublin | Łódź | Katowice,Remote,17000.0,22000.0,PLN,17 000 - 22 000PLN,bulldogjob.pl,,https://bulldogjob.pl/companies/jobs/163825-data-engineer-streaming-warszawa-krakow-lublin-lodz-katowice-onwelo-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Senior Data Scientist,https://cdn.bulldogjob.com/system/companies/logos/000/003/474/list/Profile_pic.png,Link Group,,Remote,4500.0,6500.0,USD,4 500 - 6 500USD,bulldogjob.pl,Machine Learning | Data Scientist | Artificial Intelligence,https://bulldogjob.pl/companies/jobs/163364-senior-data-scientist-link-group,2024-09-21,0.0,Not applied,,False,,,,
Senior Data Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/000/741/list/limango_logo.png,Limango Polska sp. z o.o.,Wroclaw,Remote,18500.0,24000.0,PLN,18 500 - 24 000PLN,bulldogjob.pl,Terraform | PySpark | AWS,https://bulldogjob.pl/companies/jobs/162519-senior-data-engineer-wroclaw-limango-polska-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Senior Data Engineer (Azure),https://cdn.bulldogjob.com/system/companies/logos/000/000/471/list/Getindata-Logo-Rgb-Part-of-Xebia-concept.jpg,GetInData | Part of Xebia,Warsaw,Remote,25600.0,32000.0,PLN,25 600 - 32 000PLN,bulldogjob.pl,Azure | Docker | Git,https://bulldogjob.pl/companies/jobs/162850-senior-data-engineer-azure-warsaw-getindata-part-of-xebia,2024-09-21,0.0,Not applied,,False,,,,
BI Analyst (Power BI),https://cdn.bulldogjob.com/system/companies/logos/000/000/257/list/logo-onwelo.png,ONWELO Sp. z o.o.,Kraków,Remote,18000.0,22000.0,PLN,18 000 - 22 000PLN,bulldogjob.pl,AWS | Power BI | SQL,https://bulldogjob.pl/companies/jobs/163755-bi-analyst-power-bi-krakow-onwelo-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Senior Data Scientist (NLP & LLMs),https://cdn.bulldogjob.com/system/companies/logos/000/000/257/list/logo-onwelo.png,ONWELO Sp. z o.o.,Warszawa | Kraków | Lublin | Łódź,Remote,20000.0,24000.0,PLN,20 000 - 24 000PLN,bulldogjob.pl,,https://bulldogjob.pl/companies/jobs/163376-senior-data-scientist-nlp-llms-warszawa-krakow-lublin-lodz-onwelo-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Microsoft (Fabric) Data Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/000/257/list/logo-onwelo.png,ONWELO Sp. z o.o.,Warszawa | Kraków | Lublin | Łódź | Katowice,Remote,17000.0,22000.0,PLN,17 000 - 22 000PLN,bulldogjob.pl,,https://bulldogjob.pl/companies/jobs/163374-microsoft-fabric-data-engineer-warszawa-krakow-lublin-lodz-katowice-onwelo-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Data Scientist / ML Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/001/043/list/Addepto_logo_final-logo-design_Logo_preservative_field.jpeg,Addepto sp. z o.o.,Warsaw | Krakow | Wroclaw | Poznan | Gdansk,Remote,14200.0,28500.0,PLN,14 200 - 28 500PLN,bulldogjob.pl,Python | Machine Learning | AWS,https://bulldogjob.pl/companies/jobs/162799-data-scientist-ml-engineer-warsaw-krakow-wroclaw-poznan-gdansk-addepto-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Data Scientist (Machine Learning),https://cdn.bulldogjob.com/system/companies/logos/000/000/257/list/logo-onwelo.png,ONWELO Sp. z o.o.,Warszawa | Kraków | Lublin | Łódź,Remote,17000.0,20000.0,PLN,17 000 - 20 000PLN,bulldogjob.pl,,https://bulldogjob.pl/companies/jobs/163714-data-scientist-machine-learning-warszawa-krakow-lublin-lodz-onwelo-sp-z-o-o,2024-09-21,0.0,Not applied,,False,,,,
Data Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/000/909/list/the-codest-avatar.png,The Codest,Krakow | Warsaw,Remote,17000.0,23000.0,PLN,17 000 - 23 000PLN,bulldogjob.pl,ETL tools | Data processing | Data workflows,https://bulldogjob.pl/companies/jobs/162515-data-engineer-krakow-warsaw-the-codest,2024-09-21,0.0,Not applied,,False,,,,
Cloud Data Engineer –  sektor finansowy,https://cdn.bulldogjob.com/system/companies/logos/000/000/165/list/Logo_Sii_-01.jpg,Sii Polska,Łódź,Remote,,,,,bulldogjob.pl,ETL | Kafka | MS SQL,https://bulldogjob.pl/companies/jobs/163003-cloud-data-engineer-sektor-finansowy-lodz-sii-polska,2024-09-21,0.0,Not applied,,False,,,,
Middle/Senior Machine Learning Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/003/123/list/SIGMA_Logo_2021_RGB.png,Sigma Software,Warsaw | Krakow | Poznan | Wroclaw | Gdansk,Remote,,,,,bulldogjob.pl,Machine Learning | SQL | Deep Learning,https://bulldogjob.pl/companies/jobs/163325-middle-senior-machine-learning-engineer-warsaw-krakow-poznan-wroclaw-gdansk-sigma-software,2024-09-21,0.0,Not applied,,False,,,,
Middle/Senior Machine Learning Engineer,https://cdn.bulldogjob.com/system/companies/logos/000/003/123/list/SIGMA_Logo_2021_RGB.png,Sigma Software,Warsaw | Krakow | Poznan | Wroclaw | Gdansk,Remote,,,,,bulldogjob.pl,Machine Learning | SQL | Deep Learning,https://bulldogjob.pl/companies/jobs/163320-middle-senior-machine-learning-engineer-warsaw-krakow-poznan-wroclaw-gdansk-sigma-software,2024-09-21,0.0,Not applied,,False,,,,
Senior Data Scientist,https://cdn.bulldogjob.com/system/companies/logos/000/003/289/list/logo-SM_png.png,Software Mind,Krakow | Warsaw,Remote,,,,,bulldogjob.pl,Python | scikit-learn | pandas,https://bulldogjob.pl/companies/jobs/163709-senior-data-scientist-krakow-warsaw-software-mind,2024-09-21,0.0,Not applied,,False,,,,
