title,logo,company_name,location,remote_status,min_salary,max_salary,salary_details,salary_text,website,tags,url,id,added_date,archived_date
Customer Analytics Coordinator,https://imgproxy.justjoinit.tech/Fz8UvfrukSHT1sDu8ab_shFWmzXN-7NOQuuBH4UlLio/h:200/w:200/plain/https://imgproxy.justjoinit.tech/jkd69TlqNxq0mvhHqZdR4MeA3dN5_XcskS_OvDeD4jA/h:200/w:200/plain/https://public.rocketjobs.pl/companies/logos/original/81f603111c1cd40d7cd85133c40046a5cda71ff8.png,Reffine,Rzeszów,Remote,10000.0,16000.0,pln,10 000 - 16 000 - pln,rocketjobs.pl,English | Google Analytics | Polish,https://rocketjobs.pl/offers/reffine-customer-analytics-coordinator-rzeszow-bi-data,ae965eddf11b825e13a4c43ebbf11d16ffcd5a59146103aa3d497f6eeb07c486,2024-09-17 16:11,2024-09-20 09:57:00
Data Engineer with AWS,https://imgproxy.justjoinit.tech/FBVbJ_-H3hl-ktybiCTywO5OCDlsMx0H-rEibDxAQvs/h:200/w:200/plain/https://imgproxy.justjoinit.tech/yLH9TkZp_4uWvVir53hpKlh7BvFx1FxoznxKKPMB2yQ/h:200/w:200/plain/https://public.rocketjobs.pl/companies/logos/original/1b9c03534f53b2b5a05dd71e81cd1d3221b3351d.png,Altimetrik Poland,Kraków,Remote,24000.0,29000.0,pln,24 000 - 29 000 - pln,rocketjobs.pl,English | Databricks | Python,https://rocketjobs.pl/offers/altimetrik-poland-data-engineer-with-aws-krakow-bi-data,1f01ddcc9fd041d5abc3600f6bf479968530c6fc5948c04e34c53ec8dc493ef4,2024-09-17 16:11,2024-09-20 09:57:00
Data Engineer,https://imgproxy.justjoinit.tech/FBVbJ_-H3hl-ktybiCTywO5OCDlsMx0H-rEibDxAQvs/h:200/w:200/plain/https://imgproxy.justjoinit.tech/yLH9TkZp_4uWvVir53hpKlh7BvFx1FxoznxKKPMB2yQ/h:200/w:200/plain/https://public.rocketjobs.pl/companies/logos/original/1b9c03534f53b2b5a05dd71e81cd1d3221b3351d.png,Altimetrik Poland,Kraków,Remote,24000.0,29000.0,pln,24 000 - 29 000 - pln,rocketjobs.pl,PySpark | SQL | Python,https://rocketjobs.pl/offers/altimetrik-poland-data-engineer-krakow-bi-data,18d6f453a0a43c9724f4b947d678de215392f38522d74403e72541bb1cadd8fc,2024-09-17 16:11,2024-09-20 09:57:00
Analityk webowy/ecommerce,https://imgproxy.justjoinit.tech/XqdNajRdtw9kvuYWhaMrJ6UK1gVJukWIt9vW6eN5Fkc/h:200/w:200/plain/https://public.rocketjobs.pl/offers/company_logos/original/afd74042c4401688bfcd19227dad594b1f26a073.jpg,Sportano.com,Wrocław,Remote,,,,,rocketjobs.pl,Google Tag Manager | analiza | ecommerce,https://rocketjobs.pl/offers/sportano-com-analityk-webowy-ecommerce-wroclaw-bi-data,fd37ea672502773b4f983b89c3f0dbf16e00842fe0b12ce03b26d69658d86593,2024-09-17 16:11,2024-09-20 09:57:00
Data Engineer,https://cdn.solid.jobs/companies/logos/3626c4a41c5941d7996b4c838e56267a.png,ITFS,Warszawa,Remote,21800.0,24400.0,PLN,21.8k–24.4k PLN,solid.jobs,Snowflake | Azure Databricks | Synapse | Python,https://solid.jobs/offer/20334/itfs-data-engineer,015919f79897f634a203c0cb9c289f18747afa0fbb31e25b215dc06cb7f9afcf,2024-09-17 16:11,2024-09-20 09:57:00
SQL BI Developer,https://cdn.solid.jobs/companies/logos/5729d4ee749f4860a1cb4fefb5bd2ff6,7N,Gdańsk,Remote,21800.0,25200.0,PLN,21.8k–25.2k PLN,solid.jobs,SQL | ETL | Power BI | BI | SSIS | Analysis Services | Data warehouse,https://solid.jobs/offer/20068/7n-sql-bi-developer,b31a04e203ef94a251cc51c41dcc2666e629735eb7abee11a0652faa6101d987,2024-09-17 16:11,2024-09-20 09:57:00
Data engineer,https://cdn.solid.jobs/companies/logos/1cef487c08cf407ca87f2dc6fe2fe19a.png,ITFS,Warszawa,Remote,15100.0,18500.0,PLN,15.1k–18.5k PLN,solid.jobs,SQL | Spark | Databricks,https://solid.jobs/offer/20040/itfs-data-engineer,73364ddd0d12d9120918225ee16da8268e5dd4731c22ee65c2dfe0fff1aad709,2024-09-17 16:11,2024-09-20 09:57:00
AB Initio Developer,https://cdn.solid.jobs/companies/logos/eb79b64971004d6f9408b71dd99adce2.jpg,ASTEK Polska,"Aleja Jana Pawła II 22, Warszawa",Remote,21000.0,26300.0,PLN,21.0k–26.3k PLN,solid.jobs,AB Initio | ETL | bash | AB Initio Metadata Hub,https://solid.jobs/offer/17399/astek-polska-ab-initio-developer,35264544e83bd19d9dfb20798c2a856bf10b000aaa01caa96bb5284153db0e8e,2024-09-17 16:11,2024-09-20 09:57:00
Marketing Automation Engineer,https://cdn.solid.jobs/companies/logos/8d8d2fa6345f48b9a046e766b0669cd3.jpg,P&P Solutions,Warszawa,Remote,13400.0,21800.0,PLN,13.4k–21.8k PLN,solid.jobs,Python | SASS | Salesforce | SQL | REST | Azure | HTML/CSS,https://solid.jobs/offer/17390/pp-solutions-marketing-automation-engineer,29b9a1ad232058e92f6e3f58f38620a7b61e0b898d2aaca15811cac98d4429f4,2024-09-17 16:11,2024-09-20 09:57:00
Data Engineer (GCP),https://cdn.solid.jobs/companies/logos/d4a548d4462441ecbe424666c444fb41.png,Next Technology Professionals,Warszawa,Remote,22000.0,27000.0,PLN,22.0k–27.0k PLN,solid.jobs,Python | SQL | Data warehouse | Apache Airflow | GCP,https://solid.jobs/offer/18295/next-technology-professionals-data-engineer-gcp,0b318c5b30abbee28fdf3ffb067409dac706eccbad7ecb96f87582b66543660c,2024-09-17 16:11,2024-09-20 09:57:00
